Java HotSpot(TM) 64-Bit Server VM (25.45-b02) for bsd-amd64 JRE (1.8.0_45-b14), built on Apr 10 2015 10:46:38 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1936628k free)

/proc/meminfo:

CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:NewSize=348966912 -XX:OldPLABSize=16 -XX:OldSize=697933824 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2015-08-18T14:12:54.768+0500: 1.650: [GC (Allocation Failure) 1.650: [ParNew: 272640K->10125K(306688K), 0.0149137 secs] 272640K->10125K(1014528K), 0.0150288 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2015-08-18T14:13:52.068+0500: 58.950: [GC (Allocation Failure) 58.950: [ParNew: 282765K->5099K(306688K), 0.0187625 secs] 282765K->5099K(1014528K), 0.0188775 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2015-08-18T14:16:54.665+0500: 241.551: [GC (Allocation Failure) 241.551: [ParNew: 277739K->6850K(306688K), 0.0213176 secs] 277739K->6850K(1014528K), 0.0214204 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2015-08-18T14:17:08.700+0500: 255.586: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(707840K)] 81099K(1014528K), 0.0141247 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2015-08-18T14:17:08.714+0500: 255.600: [CMS-concurrent-mark-start]
2015-08-18T14:17:08.723+0500: 255.608: [CMS-concurrent-mark: 0.008/0.008 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2015-08-18T14:17:08.723+0500: 255.609: [CMS-concurrent-preclean-start]
2015-08-18T14:17:08.724+0500: 255.610: [CMS-concurrent-preclean: 0.001/0.001 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2015-08-18T14:17:08.724+0500: 255.610: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2015-08-18T14:17:13.751+0500: 260.637: [CMS-concurrent-abortable-preclean: 1.410/5.027 secs] [Times: user=1.46 sys=0.09, real=5.03 secs] 
2015-08-18T14:17:13.751+0500: 260.637: [GC (CMS Final Remark) [YG occupancy: 94509 K (306688 K)]2015-08-18T14:17:13.751+0500: 260.637: [GC (CMS Final Remark) 260.637: [ParNew: 94509K->5608K(306688K), 0.0106134 secs] 94509K->5608K(1014528K), 0.0106730 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
260.648: [Rescan (parallel) , 0.0024942 secs]260.651: [weak refs processing, 0.0000217 secs]260.651: [class unloading, 0.0042695 secs]260.655: [scrub symbol table, 0.0023090 secs]260.657: [scrub string table, 0.0002647 secs][1 CMS-remark: 0K(707840K)] 5608K(1014528K), 0.0217773 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2015-08-18T14:17:13.773+0500: 260.659: [CMS-concurrent-sweep-start]
2015-08-18T14:17:13.773+0500: 260.659: [CMS-concurrent-sweep: 0.000/0.000 secs] [Times: user=0.2015-08-18T14:17:42.242+0500: 293.841: [GC (Allocation Failure) 293.841: [ParNew: 277930K->8029K(306688K), 0.0126144 secs] 277930K->8029K(1014528K), 0.0127027 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2015-08-18T14:18:49.656+0500: 361.256: [GC (Allocation Failure) 361.257: [ParNew: 280669K->8348K(306688K), 0.0389036 secs] 280669K->8348K(1014528K), 0.0390305 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
